DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
16/01/2019,37.227261,147.539993,100.06855,54.0485,84.189003,0.28,0.04,0.92,0.01,0,1.570861084,2.168909759,2.000297607,1.732783646,1.925255366,0.527351886,-0.413074029,0.152755774,0.153747155,0.238466463,0.517351886,-0.423074029,0.142755774,0.143747155,0.228466463
17/01/2019,37.448296,148.300003,100.77124,54.494999,84.661003,0.75,0.11,-0.24,0.01,0,1.573432061,2.17114116,2.003336603,1.736356649,1.927683409,0.257097677,0.22314013,0.303899576,0.35730034,0.24280429,0.247097677,0.21314013,0.293899576,0.34730034,0.23280429
18/01/2019,37.678959,150.039993,102.281105,54.912998,84.809998,1.29,-0.36,0.12,0.01,0,1.576098896,2.176207035,2.009795411,1.739675155,1.928447053,0.266683464,0.50658754,0.645880868,0.331850591,0.07636436,0.256683464,0.49658754,0.635880868,0.321850591,0.06636436
22/01/2019,36.833218,147.570007,100.353432,53.526001,81.608498,-1.53,-0.4,0.32,0.01,0,1.566239663,2.168998098,2.00153223,1.728564798,1.911735385,-0.985923211,-0.720893734,-0.826318174,-1.111035699,-1.67116682,-0.995923211,-0.730893734,-0.836318174,-1.121035699,-1.68116682
23/01/2019,36.982182,144.300003,101.331512,53.7785,82.000999,0.15,-0.39,-0.13,0.01,0,1.567992532,2.15926634,2.005744523,1.730608685,1.913819143,0.175286813,-0.973175776,0.421229338,0.204388677,0.208375857,0.165286813,-0.983175776,0.411229338,0.194388677,0.198375857
24/01/2019,36.689056,145.830002,100.847221,53.695,82.746498,0.23,0.44,-0.01,0.01,0,1.564536538,2.163846882,2.003663935,1.729933847,1.917749623,-0.345599394,0.458054163,-0.208058788,-0.067483792,0.393047928,-0.355599394,0.448054163,-0.218058788,-0.077483792,0.383047928
25/01/2019,37.904812,149.009995,101.768349,54.5495,83.528503,0.9,0.46,-0.35,0.01,0,1.578694347,2.1732154,2.007612729,1.736790774,1.921834698,1.415780936,0.936851839,0.39487939,0.685692749,0.408507543,1.405780936,0.926851839,0.38487939,0.675692749,0.398507543
28/01/2019,37.55402,147.470001,99.783684,53.504002,81.894501,-0.8,-0.16,0.63,0.01,0,1.574656433,2.168703683,1.999059534,1.728386268,1.913254741,-0.403791374,-0.451171695,-0.855319497,-0.840450655,-0.857995703,-0.413791374,-0.461171695,-0.865319497,-0.850450655,-0.867995703
29/01/2019,37.164787,144.190002,97.751526,53.030998,79.694,-0.19,-0.01,0.17,0.01,0,1.570131648,2.158935148,1.990123546,1.7245298,1.901425625,-0.452478512,-0.976853534,-0.89359881,-0.385646739,-1.182911553,-0.462478512,-0.986853534,-0.90359881,-0.395646739,-1.192911553
30/01/2019,39.704426,150.419998,101.018143,54.452999,83.5215,1.51,-0.15,-0.94,0.01,0,1.598838922,2.177305579,2.004399381,1.736021804,1.921798285,2.870727378,1.837043071,1.427583479,1.149200327,2.037265994,2.860727378,1.827043071,1.417583479,1.139200327,2.027265994
31/01/2019,39.990356,166.690002,99.166451,55.818501,85.936501,0.92,0.12,-1.08,0.01,0,1.60195527,2.221909552,1.996364771,1.746778169,1.934177667,0.311634842,4.460397323,-0.803460984,1.075636585,1.237938151,0.301634842,4.450397323,-0.813460984,1.065636585,1.227938151
